country;RAW_OBS_VALUE;ATTR_ENDPOINT
Afghanistan;3.0;nan
Albania;5.0;nan
Algeria;5.0;nan
Andorra;5.0;nan
Angola;1.0;nan
Antigua and Barbuda;1.0;nan
Argentina;3.0;nan
Armenia;5.0;nan
Australia;5.0;nan
Austria;5.0;nan
Azerbaijan;5.0;nan
Bahamas;5.0;nan
Bahrain;5.0;nan
Bangladesh;3.0;nan
Barbados;5.0;nan
Belarus;1.0;nan
Belgium;5.0;nan
Belize;5.0;nan
Benin;5.0;nan
Bhutan;5.0;nan
Bolivia;5.0;nan
Bosnia and Herzegovina;5.0;nan
Botswana;1.0;nan
Brazil;5.0;nan
Brunei;1.0;nan
Bulgaria;5.0;nan
Burkina Faso;5.0;nan
Burundi;5.0;nan
Cambodia;5.0;nan
Cameroon;5.0;nan
Canada;1.0;nan
Cape Verde;5.0;nan
Central African Republic;5.0;nan
Chad;5.0;nan
Chile;5.0;nan
China;3.0;nan
Colombia;5.0;nan
Comoros;5.0;nan
Congo, Democratic Republic of the;5.0;nan
Congo, Republic of the Congo;1.0;nan
Costa Rica;5.0;nan
Cote d'Ivoire;5.0;nan
Croatia;5.0;nan
Cuba;1.0;nan
Cyprus;5.0;nan
Czech Republic;5.0;nan
Denmark;5.0;nan
Djibouti;5.0;nan
Dominica;1.0;nan
Dominican Republic;5.0;nan
Ecuador;5.0;nan
Egypt;3.0;nan
El Salvador;5.0;nan
Equatorial Guinea;5.0;nan
Eritrea;5.0;nan
Estonia;5.0;nan
Ethiopia;5.0;nan
Fiji;5.0;nan
Finland;5.0;nan
France;5.0;nan
Gabon;5.0;nan
Gambia, the;1.0;nan
Georgia;5.0;nan
Germany;5.0;nan
Ghana;2.0;nan
Greece;5.0;nan
Greenland;5.0;nan
Grenada;1.0;nan
Guatemala;1.0;nan
Guinea;5.0;nan
Guinea-Bissau;1.0;nan
Guyana;5.0;nan
Haiti;1.0;nan
Honduras;5.0;nan
Hungary;5.0;nan
Iceland;5.0;nan
India;3.0;nan
Indonesia;1.0;nan
Iran, Islamic Republic of;1.0;nan
Iraq;5.0;nan
Ireland;5.0;nan
Israel;5.0;nan
Italy;5.0;nan
Jamaica;1.0;nan
Japan;2.0;nan
Jordan;1.0;nan
Kazakhstan;1.0;nan
Kenya;5.0;nan
Kiribati;5.0;nan
Korea, Democratic People's Republic of;1.0;nan
Korea, Republic of;5.0;nan
Kuwait;1.0;nan
Kyrgyzstan;5.0;nan
Laos;5.0;nan
Latvia;5.0;nan
Lebanon;3.0;nan
Lesotho;5.0;nan
Liberia;5.0;nan
Libyan Arab Jamahiriya;5.0;nan
Liechtenstein;5.0;nan
Lithuania;5.0;nan
Luxembourg;5.0;nan
North Macedonia;5.0;nan
Madagascar;5.0;nan
Malawi;5.0;nan
Malaysia;5.0;nan
Maldives;5.0;nan
Mali;1.0;nan
Malta;5.0;nan
Marshall Islands;3.0;nan
Mauritania;1.0;nan
Mauritius;5.0;nan
Mexico;5.0;nan
Micronesia, Federated States of;1.0;nan
Moldova, Republic of;5.0;nan
Monaco;5.0;nan
Mongolia;5.0;nan
Montenegro;5.0;nan
Morocco;5.0;nan
Mozambique;5.0;nan
Myanmar;1.0;nan
Namibia;5.0;nan
Nauru;1.0;nan
Nepal;5.0;nan
Netherlands, the;5.0;nan
New Zealand;5.0;nan
Nicaragua;5.0;nan
Niger;5.0;nan
Nigeria;1.0;nan
Norway;5.0;nan
Oman;2.0;nan
Pakistan;5.0;nan
Palau;1.0;nan
Panama;5.0;nan
Papua New Guinea;5.0;nan
Paraguay;5.0;nan
Peru;5.0;nan
Philippines, the;5.0;nan
Poland;5.0;nan
Portugal;5.0;nan
Qatar;1.0;nan
Romania;5.0;nan
Russian Federation;1.0;nan
Rwanda;5.0;nan
Samoa;2.0;nan
San Marino;1.0;nan
Sao Tome / Principe;5.0;nan
Saudi Arabia;5.0;nan
Senegal;5.0;nan
Serbia;5.0;nan
Seychelles;1.0;nan
Singapore;5.0;nan
Slovakia;5.0;nan
Slovenia;5.0;nan
Solomon Islands;1.0;nan
Somalia;1.0;nan
South Africa;5.0;nan
South Sudan;5.0;nan
Spain;5.0;nan
Sri Lanka;5.0;nan
St. Kitts and Nevis;1.0;nan
St. Lucia;5.0;nan
St. Vincent / Grenadines;1.0;nan
Sudan, the;1.0;nan
Suriname;1.0;nan
Eswatini;1.0;nan
Sweden;5.0;nan
Switzerland;5.0;nan
Syria;1.0;nan
Tajikistan;1.0;nan
Tanzania, United Republic of;5.0;nan
Thailand;5.0;nan
Timor-Leste;5.0;nan
Togo;5.0;nan
Tonga;1.0;nan
Trinidad and Tobago;1.0;nan
Tunisia;5.0;nan
Türkiye;5.0;nan
Turkmenistan;1.0;nan
Tuvalu;5.0;nan
Uganda;5.0;nan
Ukraine;5.0;nan
United Arab Emirates;5.0;nan
United Kingdom;5.0;nan
United States of America;5.0;nan
Uruguay;5.0;nan
Uzbekistan;5.0;nan
Vanuatu;1.0;nan
Venezuela;5.0;nan
Vietnam;5.0;nan
Yemen;1.0;nan
Zambia;5.0;nan
Zimbabwe;5.0;nan
