country;RAW_OBS_VALUE;TIME_PERIOD;ATTR_ENDPOINT
Afghanistan;2;2016.0;nan
Albania;5;2016.0;nan
Algeria;2;2016.0;nan
Andorra;5;2016.0;nan
Angola;5;2016.0;nan
Antigua and Barbuda;2;2016.0;nan
Argentina;5;2016.0;nan
Armenia;3;2016.0;nan
Australia;5;2016.0;nan
Austria;5;2016.0;nan
Azerbaijan;2;2016.0;nan
Bahamas;5;2016.0;nan
Bahrain;5;2016.0;nan
Bangladesh;2;2016.0;nan
Barbados;5;2016.0;nan
Belarus;2;2016.0;nan
Belgium;5;2016.0;nan
Belize;5;2016.0;nan
Benin;5;2016.0;nan
Bhutan;2;2016.0;nan
Bolivia;2;2016.0;nan
Bosnia and Herzegovina;5;2016.0;nan
Botswana;5;2016.0;nan
Brazil;5;2016.0;nan
Brunei;5;2016.0;nan
Bulgaria;5;2016.0;nan
Burkina Faso;5;2016.0;nan
Burundi;5;2016.0;nan
Cambodia;5;2016.0;nan
Cameroon;5;2016.0;nan
Canada;5;2016.0;nan
Cape Verde;2;2016.0;nan
Central African Republic;5;2016.0;nan
Chad;5;2016.0;nan
Chile;5;2016.0;nan
China;5;2016.0;nan
Colombia;5;2016.0;nan
Comoros;5;2016.0;nan
Costa Rica;5;2016.0;nan
Cote d'Ivoire;5;2016.0;nan
Croatia;5;2016.0;nan
Cuba;5;2016.0;nan
Cyprus;5;2016.0;nan
Czech Republic;5;2016.0;nan
Democratic People's Republic of Korea;2;2016.0;nan
Democratic Republic of the Congo;5;2016.0;nan
Denmark;5;2016.0;nan
Djibouti;5;2016.0;nan
Dominica;2;2016.0;nan
Dominican Republic;5;2016.0;nan
Ecuador;5;2016.0;nan
Egypt;5;2016.0;nan
El Salvador;5;2016.0;nan
Equatorial Guinea;5;2016.0;nan
Eritrea;5;2016.0;nan
Estonia;5;2016.0;nan
Eswatini;5;2016.0;nan
Ethiopia;2;2016.0;nan
Fiji;5;2016.0;nan
Finland;5;2016.0;nan
France;5;2016.0;nan
Gabon;5;2016.0;nan
Georgia;2;2016.0;nan
Germany;5;2016.0;nan
Ghana;5;2016.0;nan
Greece;5;2016.0;nan
Grenada;5;2016.0;nan
Guatemala;5;2016.0;nan
Guinea;5;2016.0;nan
Guinea-Bissau;2;2016.0;nan
Guyana;5;2016.0;nan
Haiti;2;2016.0;nan
Honduras;5;2016.0;nan
Hungary;5;2016.0;nan
Iceland;5;2016.0;nan
India;5;2016.0;nan
Indonesia;5;2016.0;nan
Iran;2;2016.0;nan
Iraq;2;2016.0;nan
Ireland;5;2016.0;nan
Israel;5;2016.0;nan
Italy;5;2016.0;nan
Jamaica;5;2016.0;nan
Japan;5;2016.0;nan
Jordan;5;2016.0;nan
Kazakhstan;5;2016.0;nan
Kenya;5;2016.0;nan
Kiribati;5;2016.0;nan
Kuwait;5;2016.0;nan
Kyrgyzstan;2;2016.0;nan
Laos;5;2016.0;nan
Latvia;3;2016.0;nan
Lebanon;5;2016.0;nan
Lesotho;5;2016.0;nan
Liberia;5;2016.0;nan
Libya;5;2016.0;nan
Liechtenstein;5;2016.0;nan
Lithuania;5;2016.0;nan
Luxembourg;5;2016.0;nan
Madagascar;5;2016.0;nan
Malawi;5;2016.0;nan
Malaysia;5;2016.0;nan
Maldives;5;2016.0;nan
Mali;2;2016.0;nan
Malta;5;2016.0;nan
Marshall Islands;1;2016.0;nan
Mauritania;5;2016.0;nan
Mauritius;5;2016.0;nan
Mexico;5;2016.0;nan
Micronesia, Federated States of;1;2016.0;nan
Moldova;5;2016.0;nan
Monaco;5;2016.0;nan
Mongolia;5;2016.0;nan
Montenegro;5;2016.0;nan
Morocco;5;2016.0;nan
Mozambique;5;2016.0;nan
Myanmar;5;2016.0;nan
Namibia;5;2016.0;nan
Nauru;1;2016.0;nan
Nepal;2;2016.0;nan
New Zealand;5;2016.0;nan
Nicaragua;5;2016.0;nan
Niger;5;2016.0;nan
Nigeria;5;2016.0;nan
North Macedonia;5;2016.0;nan
Norway;5;2016.0;nan
Oman;5;2016.0;nan
Pakistan;5;2016.0;nan
Palau;1;2016.0;nan
Panama;5;2016.0;nan
Papua New Guinea;1;2016.0;nan
Paraguay;5;2016.0;nan
Peru;5;2016.0;nan
Poland;3;2016.0;nan
Portugal;5;2016.0;nan
Qatar;5;2016.0;nan
Republic of Korea;5;2016.0;nan
Republic of the Congo;2;2016.0;nan
Romania;5;2016.0;nan
Russian Federation;2;2016.0;nan
Rwanda;5;2016.0;nan
Samoa;5;2016.0;nan
San Marino;3;2016.0;nan
Sao Tome and Principe;2;2016.0;nan
Saudi Arabia;5;2016.0;nan
Senegal;5;2016.0;nan
Serbia;5;2016.0;nan
Seychelles;5;2016.0;nan
Sierra Leone;2;2016.0;nan
Singapore;5;2016.0;nan
Slovakia;5;2016.0;nan
Slovenia;5;2016.0;nan
Solomon Islands;5;2016.0;nan
Somalia;5;2016.0;nan
South Africa;5;2016.0;nan
South Sudan;5;2016.0;nan
Spain;5;2016.0;nan
Sri Lanka;5;2016.0;nan
St. Kitts and Nevis;5;2016.0;nan
St. Lucia;5;2016.0;nan
St. Vincent and the Grenadines;5;2016.0;nan
Sudan;5;2016.0;nan
Suriname;1;2016.0;nan
Sweden;5;2016.0;nan
Switzerland;5;2016.0;nan
Syria;5;2016.0;nan
Tajikistan;2;2016.0;nan
Tanzania;5;2016.0;nan
Thailand;5;2016.0;nan
The Gambia;5;2016.0;nan
The Netherlands;5;2016.0;nan
The Philippines;5;2016.0;nan
Timor-Leste;5;2016.0;nan
Togo;5;2016.0;nan
Tonga;1;2016.0;nan
Trinidad and Tobago;5;2016.0;nan
Tunisia;5;2016.0;nan
Türkiye;5;2016.0;nan
Turkmenistan;2;2016.0;nan
Tuvalu;5;2016.0;nan
Uganda;5;2016.0;nan
Ukraine;2;2016.0;nan
United Arab Emirates;2;2016.0;nan
United Kingdom;5;2016.0;nan
United States of America;1;2016.0;nan
Uruguay;5;2016.0;nan
Uzbekistan;2;2016.0;nan
Vanuatu;5;2016.0;nan
Venezuela;5;2016.0;nan
Vietnam;5;2016.0;nan
Yemen;5;2016.0;nan
Zambia;5;2016.0;nan
Zimbabwe;2;2016.0;nan
