;COUNTRY_ISO_3;_merge;TIME_PERIOD;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
0;AFG;both;2023;Gender discrimination;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_GENDIS;https://www.worldpolicycenter.org/policies/are-women-protected-from-discrimination-at-work/are-women-protected-from-discrimination-in-promotions-and-or-demotions;World Policy Analysis Centre;Are women protected from discrimination in promotions and/or demotions?;;;;Are women protected from discrimination at work? (In promotion and/or demotions) ;nan;2023
1;ALB;both;2023;Gender discrimination;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_GENDIS;https://www.worldpolicycenter.org/policies/are-women-protected-from-discrimination-at-work/are-women-protected-from-discrimination-in-promotions-and-or-demotions;World Policy Analysis Centre;Are women protected from discrimination in promotions and/or demotions?;;;;Are women protected from discrimination at work? (In promotion and/or demotions) ;nan;2023
2;AND;both;2023;Gender discrimination;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_GENDIS;https://www.worldpolicycenter.org/policies/are-women-protected-from-discrimination-at-work/are-women-protected-from-discrimination-in-promotions-and-or-demotions;World Policy Analysis Centre;Are women protected from discrimination in promotions and/or demotions?;;;;Are women protected from discrimination at work? (In promotion and/or demotions) ;nan;2023
3;DZA;both;2023;Gender discrimination;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_GENDIS;https://www.worldpolicycenter.org/policies/are-women-protected-from-discrimination-at-work/are-women-protected-from-discrimination-in-promotions-and-or-demotions;World Policy Analysis Centre;Are women protected from discrimination in promotions and/or demotions?;;;;Are women protected from discrimination at work? (In promotion and/or demotions) ;nan;2023
4;AGO;both;2023;Gender discrimination;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_GENDIS;https://www.worldpolicycenter.org/policies/are-women-protected-from-discrimination-at-work/are-women-protected-from-discrimination-in-promotions-and-or-demotions;World Policy Analysis Centre;Are women protected from discrimination in promotions and/or demotions?;;;;Are women protected from discrimination at work? (In promotion and/or demotions) ;nan;2023
5;ATG;both;2023;Gender discrimination;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_GENDIS;https://www.worldpolicycenter.org/policies/are-women-protected-from-discrimination-at-work/are-women-protected-from-discrimination-in-promotions-and-or-demotions;World Policy Analysis Centre;Are women protected from discrimination in promotions and/or demotions?;;;;Are women protected from discrimination at work? (In promotion and/or demotions) ;nan;2023
6;ARG;both;2023;Gender discrimination;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_GENDIS;https://www.worldpolicycenter.org/policies/are-women-protected-from-discrimination-at-work/are-women-protected-from-discrimination-in-promotions-and-or-demotions;World Policy Analysis Centre;Are women protected from discrimination in promotions and/or demotions?;;;;Are women protected from discrimination at work? (In promotion and/or demotions) ;nan;2023
7;ARM;both;2023;Gender discrimination;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_GENDIS;https://www.worldpolicycenter.org/policies/are-women-protected-from-discrimination-at-work/are-women-protected-from-discrimination-in-promotions-and-or-demotions;World Policy Analysis Centre;Are women protected from discrimination in promotions and/or demotions?;;;;Are women protected from discrimination at work? (In promotion and/or demotions) ;nan;2023
8;AUS;both;2023;Gender discrimination;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_GENDIS;https://www.worldpolicycenter.org/policies/are-women-protected-from-discrimination-at-work/are-women-protected-from-discrimination-in-promotions-and-or-demotions;World Policy Analysis Centre;Are women protected from discrimination in promotions and/or demotions?;;;;Are women protected from discrimination at work? (In promotion and/or demotions) ;nan;2023
9;AUT;both;2023;Gender discrimination;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_GENDIS;https://www.worldpolicycenter.org/policies/are-women-protected-from-discrimination-at-work/are-women-protected-from-discrimination-in-promotions-and-or-demotions;World Policy Analysis Centre;Are women protected from discrimination in promotions and/or demotions?;;;;Are women protected from discrimination at work? (In promotion and/or demotions) ;nan;2023
